CSAFP	GEOID	NAME	CBSA_TYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                             
434	10260	Adjuntas, PR Micro Area	2	172725733	1051790	      66.690	       0.406	 18.181560	 -66.758147                                                                                                  
220	10300	Adrian, MI Micro Area	2	1941339768	30699189	     749.556	      11.853	 41.896109	 -84.074350                                                                                                  
184	10420	Akron, OH Metro Area	1	2331619578	62018442	     900.243	      23.945	 41.146639	 -81.350110                                                                                                   
440	10540	Albany, OR Metro Area	1	5932815078	49654169	    2290.673	      19.172	 44.488898	-122.537208                                                                                                  
104	10580	Albany-Schenectady-Troy, NY Metro Area	1	7282106737	172589034	    2811.637	      66.637	 42.787920	 -73.942348                                                                                
172	10620	Albemarle, NC Micro Area	2	1023264907	25262143	     395.085	       9.754	 35.310449	 -80.254374                                                                                               
290	10700	Albertville, AL Micro Area	2	1465524083	148503229	     565.842	      57.337	 34.309564	 -86.321668                                                                                            
106	10740	Albuquerque, NM Metro Area	1	24041256743	37921741	    9282.382	      14.642	 35.116603	-106.456535                                                                                            
204	10860	Alice, TX Micro Area	2	2240778092	8739522	     865.169	       3.374	 27.733516	 -98.090814                                                                                                    
408	10900	Allentown-Bethlehem-Easton, PA-NJ Metro Area	1	3763879943	58581593	    1453.242	      22.618	 40.789339	 -75.398158                                                                           
394	10940	Alma, MI Micro Area	2	1472309905	8154670	     568.462	       3.149	 43.292326	 -84.604690                                                                                                     
108	11100	Amarillo, TX Metro Area	1	13338829042	87118916	    5150.151	      33.637	 35.248001	-101.908667                                                                                               
218	11180	Ames, IA Metro Area	1	1483235260	2509634	     572.680	       0.969	 42.037538	 -93.466093                                                                                                     
104	11220	Amsterdam, NY Micro Area	2	1044067737	18598434	     403.117	       7.181	 42.900891	 -74.435357                                                                                               
258	11420	Angola, IN Micro Area	2	799725144	35458838	     308.776	      13.691	 41.643467	 -85.002405                                                                                                   
220	11460	Ann Arbor, MI Metro Area	1	1828433678	42623578	     705.962	      16.457	 42.252327	 -83.844634                                                                                               
118	11540	Appleton, WI Metro Area	1	2475494072	222455372	     955.794	      85.891	 44.290603	 -88.372326                                                                                               
412	11580	Arcadia, FL Micro Area	2	1649970328	6247257	     637.057	       2.412	 27.190581	 -81.806253                                                                                                  
490	11640	Arecibo, PR Metro Area	1	613215747	231819197	     236.764	      89.506	 18.439224	 -66.759981                                                                                                 
556	11680	Arkansas City-Winfield, KS Micro Area	2	2915656992	17314108	    1125.742	       6.685	 37.234507	 -96.837247                                                                                  
120	11700	Asheville, NC Metro Area	1	5265357913	21779731	    2032.966	       8.409	 35.595669	 -82.681615                                                                                               
360	11740	Ashland, OH Micro Area	2	1095437930	9969085	     422.951	       3.849	 40.843274	 -82.270127                                                                                                  
184	11780	Ashtabula, OH Micro Area	2	1818008353	1724826028	     701.937	     665.959	 41.906637	 -80.745592                                                                                             
312	11860	Atchison, KS Micro Area	2	1116730109	6857567	     431.172	       2.648	 39.532544	 -95.313397                                                                                                 
174	11940	Athens, TN Micro Area	2	1114009043	5340572	     430.121	       2.062	 35.424471	 -84.619962                                                                                                   
206	11980	Athens, TX Micro Area	2	2262941927	193237889	     873.727	      74.610	 32.211633	 -95.853418                                                                                                 
122	12020	Athens-Clarke County, GA Metro Area	1	2654353088	26370977	    1024.852	      10.182	 33.943984	 -83.213897                                                                                    
122	12060	Atlanta-Sandy Springs-Roswell, GA Metro Area	1	22485809510	398427699	    8681.820	     153.834	 33.693728	 -84.399911                                                                         
428	12100	Atlantic City-Hammonton, NJ Metro Area	1	1439256827	300767732	     555.700	     116.127	 39.469354	 -74.633758                                                                                
258	12140	Auburn, IN Micro Area	2	939732067	2657420	     362.833	       1.026	 41.401189	 -85.000185                                                                                                    
532	12180	Auburn, NY Micro Area	2	1791214123	445685237	     691.592	     172.080	 43.008546	 -76.574587                                                                                                 
194	12220	Auburn-Opelika, AL Metro Area	1	1573552324	21488937	     607.552	       8.297	 32.604064	 -85.353048                                                                                          
462	12380	Austin, MN Micro Area	2	1842332263	617229	     711.328	       0.238	 43.666249	 -92.759514                                                                                                    
533	12460	Bainbridge, GA Micro Area	2	1546584747	67412755	     597.140	      26.028	 30.880655	 -84.584144                                                                                              
548	12580	Baltimore-Columbia-Towson, MD Metro Area	1	6737902107	1304071479	    2601.519	     503.505	 39.304361	 -76.549501                                                                             
357	12660	Baraboo, WI Micro Area	2	2152007753	45296336	     830.895	      17.489	 43.427998	 -89.943329                                                                                                 
350	12680	Bardstown, KY Micro Area	2	1081354529	16997328	     417.513	       6.563	 37.803188	 -85.465955                                                                                               
148	12700	Barnstable Town, MA Metro Area	1	1019719638	2361606119	     393.716	     911.821	 41.798819	 -70.211083                                                                                       
538	12780	Bartlesville, OK Micro Area	2	1076019506	22829398	     415.453	       8.814	 36.704380	 -95.906155                                                                                            
384	12820	Bastrop, LA Micro Area	2	2058870191	28878805	     794.934	      11.150	 32.820008	 -91.800399                                                                                                 
464	12860	Batavia, NY Micro Area	2	1276697994	6142605	     492.936	       2.372	 43.000910	 -78.192778                                                                                                  
310	12980	Battle Creek, MI Metro Area	1	1829249871	31275675	     706.277	      12.076	 42.242990	 -85.012385                                                                                            
474	13020	Bay City, MI Metro Area	1	1145557660	487987306	     442.302	     188.413	 43.699711	 -83.978701                                                                                               
288	13060	Bay City, TX Micro Area	2	2830586533	1345793612	    1092.896	     519.614	 28.774760	 -96.001532                                                                                              
339	13100	Beatrice, NE Micro Area	2	2205274215	22014404	     851.461	       8.500	 40.255234	 -96.683453                                                                                                
376	13180	Beaver Dam, WI Micro Area	2	2267985235	81403926	     875.674	      31.430	 43.422706	 -88.704379                                                                                              
144	13260	Bedford, IN Micro Area	2	1163367041	7122898	     449.179	       2.750	 38.839815	 -86.487820                                                                                                  
198	13340	Bellefontaine, OH Micro Area	2	1187336848	21598324	     458.433	       8.339	 40.387553	 -83.766343                                                                                           
140	13460	Bend-Redmond, OR Metro Area	1	7817045489	94746122	    3018.178	      36.582	 43.915118	-121.225575                                                                                            
